iter	Passed	Remaining
0	0	63
1	1	58
2	1	56
3	2	52
4	2	51
5	3	53
6	3	52
7	4	51
8	5	51
9	5	51
10	6	50
11	6	50
12	7	49
13	7	48
14	8	47
15	8	47
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	15	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	55	0
