iter	Passed	Remaining
0	139	138887
1	139	69780
2	140	46718
3	141	35164
4	141	28221
5	142	23589
6	142	20279
7	143	17804
8	144	15872
9	144	14326
10	145	13061
11	145	12010
12	146	11156
13	147	10399
14	148	9740
15	148	9157
16	149	8658
17	150	8209
18	151	7804
19	151	7435
20	152	7105
21	153	6806
22	153	6529
23	154	6274
24	154	6040
25	155	5825
26	156	5624
27	156	5438
28	157	5270
29	158	5110
30	158	4960
31	159	4818
32	159	4686
33	160	4563
34	161	4448
35	162	4338
36	162	4234
37	163	4145
38	164	4057
39	165	3967
40	165	3882
41	166	3799
42	167	3720
43	167	3644
44	168	3571
45	168	3503
46	169	3438
47	170	3376
48	170	3315
49	171	3256
50	172	3200
51	172	3148
52	173	3097
53	173	3047
54	174	3000
55	175	2954
56	175	2910
57	176	2868
58	177	2826
59	178	2788
60	178	2751
61	179	2713
62	179	2677
63	180	2641
64	181	2607
65	181	2573
66	182	2543
67	183	2514
68	184	2484
69	184	2456
70	185	2426
71	186	2398
72	186	2370
73	187	2343
74	187	2316
75	188	2291
76	189	2266
77	189	2242
78	190	2218
79	190	2195
80	191	2173
81	192	2153
82	192	2130
83	193	2109
84	194	2089
85	194	2070
86	195	2050
87	196	2031
88	196	2012
89	197	1994
90	197	1976
91	198	1959
92	199	1942
93	199	1925
94	200	1908
95	201	1893
96	201	1877
97	202	1862
98	202	1847
99	203	1832
100	204	1817
101	204	1803
102	205	1788
103	206	1774
104	206	1760
105	207	1747
106	207	1735
107	208	1723
108	209	1711
109	210	1700
110	210	1689
111	211	1677
112	212	1665
113	212	1654
114	213	1642
115	213	1630
116	214	1618
117	215	1608
118	215	1598
119	216	1587
120	217	1577
121	217	1566
122	218	1556
123	218	1546
124	219	1537
125	220	1528
126	220	1517
127	221	1508
128	222	1499
129	222	1490
130	223	1481
131	224	1473
132	224	1464
133	225	1455
134	225	1446
135	226	1437
136	226	1429
137	227	1421
138	228	1414
139	229	1406
140	229	1399
141	230	1390
142	230	1383
143	231	1375
144	231	1367
145	232	1360
146	233	1352
147	233	1345
148	234	1338
149	234	1331
150	235	1324
151	236	1317
152	236	1310
153	237	1303
154	238	1297
155	238	1291
156	239	1284
157	239	1278
158	240	1271
159	241	1265
160	241	1258
161	242	1252
162	242	1246
163	243	1241
164	244	1235
165	244	1229
166	245	1223
167	245	1217
168	246	1212
169	247	1206
